name,country,rating,text,source
Kenneth,Singapore,5,"Quentin is very engaging and makes you feel at ease and welcome the moment you join the tour. He cracks jokes while sharing information, making the tour enjoyable and lively.",GuruWalk
Jason,Canada,5,"Quentin is a master of his craft. We were engaged and enthralled from beginning to end! Our finest walking tour experience to date.",GuruWalk
Manja,Germany,5,"Nothing negative to say. Quentin was the perfect guide. Super fun, easy to listen to and clearly passionate.",GuruWalk
Phil,United Kingdom,5,"Very enjoyable tour with the knowledgeable Quentin. Informative, interesting and entertaining.",GuruWalk
Maryann,United States,5,"I've been on many GuruWalks over the years, and Quentin rates as one of the best. I highly recommend you choose Quentin's tour!",GuruWalk
Alison,United Kingdom,5,"Really fantastic! I've been fortunate to travel around the world and do many guided walking tours and I have to say Quentin is probably the best I've experienced.",GetYourGuide
Jennifer,United States,5,"Amazing tour! Quentin was extremely knowledgeable and energetic, and happy to answer questions.",GetYourGuide
Graham M,United States,5,"Incredible tour! Quentin was super knowledgeable and made learning everything fun.",GetYourGuide
Abbie C,United States,5,"Quentin is an amazing tour guide. He also gave great restaurant tips and helped avoid tourist traps.",Tripadvisor
Hugh R,Australia,5,"Excellent guide, great humour and energy. Quentin treated us as friends and showed us secret passages and quirky corners.",Tripadvisor
Dogukan Gormus,Turkey,5,"Tour with Quentin was just great! He is very friendly and helpful. His storytelling skills make the tour very interesting.",Freetours
Noam,Lebanon,5,"Quentin did an amazing job from the organization and communication to the tour itself. Full of passion and knowledge.",Freetours
Sarah,Canada,5,"We joined Quentin's tour with our two kids and were worried they might get bored, but they loved it. Quentin kept everyone engaged with stories and humor.",Google